Category,Subcategory,Type,Country,Value
Total deaths*,"48,723/359,196 (14%)",Attributed,Argentina,4474.0
Total deaths*,"48,723/359,196 (14%)",Total,Argentina,55274.0
Total deaths*,"48,723/359,196 (14%)",Percentage,Argentina,8.0
Total deaths*,"48,723/359,196 (14%)",Attributed,Bolivia,156217.0
Total deaths*,"48,723/359,196 (14%)",Total,Bolivia,1240068.0
Total deaths*,"48,723/359,196 (14%)",Percentage,Bolivia,13.0
Total deaths*,"48,723/359,196 (14%)",Attributed,Brazil,19731.0
Total deaths*,"48,723/359,196 (14%)",Total,Brazil,107545.0
Total deaths*,"48,723/359,196 (14%)",Percentage,Brazil,18.0
Total deaths*,"48,723/359,196 (14%)",Attributed,Chile,32088.0
Total deaths*,"48,723/359,196 (14%)",Total,Chile,198738.0
Total deaths*,"48,723/359,196 (14%)",Percentage,Chile,16.0
Total deaths*,"48,723/359,196 (14%)",Attributed,Colombia,1747.0
Total deaths*,"48,723/359,196 (14%)",Total,Colombia,18706.0
Total deaths*,"48,723/359,196 (14%)",Percentage,Colombia,9.0
Total deaths*,"48,723/359,196 (14%)",Attributed,Costa Rica,7798.0
Total deaths*,"48,723/359,196 (14%)",Total,Costa Rica,57999.0
Total deaths*,"48,723/359,196 (14%)",Percentage,Costa Rica,13.0
Total deaths*,"48,723/359,196 (14%)",Attributed,Ecuador,1526.0
Total deaths*,"48,723/359,196 (14%)",Total,Ecuador,19457.0
Total deaths*,"48,723/359,196 (14%)",Percentage,Ecuador,8.0
Total deaths*,"48,723/359,196 (14%)",Attributed,Honduras,49189.0
Total deaths*,"48,723/359,196 (14%)",Total,Honduras,613123.0
Total deaths*,"48,723/359,196 (14%)",Percentage,Honduras,8.0
Total deaths*,"48,723/359,196 (14%)",Attributed,Mexico,3354.0
Total deaths*,"48,723/359,196 (14%)",Total,Mexico,27410.0
Total deaths*,"48,723/359,196 (14%)",Percentage,Mexico,12.0
Total deaths*,"48,723/359,196 (14%)",Attributed,Paraguay,15715.0
Total deaths*,"48,723/359,196 (14%)",Total,Paraguay,130930.0
Total deaths*,"48,723/359,196 (14%)",Percentage,Paraguay,12.0
Total deaths*,"48,723/359,196 (14%)",Attributed,Peru,4811.0
Total deaths*,"48,723/359,196 (14%)",Total,Peru,32475.0
Total deaths*,"48,723/359,196 (14%)",Percentage,Peru,15.0
Total deaths*,"48,723/359,196 (14%)",Attributed,Uruguay,345373.0
Total deaths*,"48,723/359,196 (14%)",Total,Uruguay,2860921.0
Total deaths*,"48,723/359,196 (14%)",Percentage,Uruguay,12.0
Cardiovascular disease†,Deaths,Attributed,Argentina,11127.0
Cardiovascular disease†,Deaths,Total,Argentina,87543.0
Cardiovascular disease†,Deaths,Percentage,Argentina,13.0
Cardiovascular disease†,Deaths,Attributed,Bolivia,696.0
Cardiovascular disease†,Deaths,Total,Bolivia,4750.0
Cardiovascular disease†,Deaths,Percentage,Bolivia,15.0
Cardiovascular disease†,Deaths,Attributed,Brazil,34999.0
Cardiovascular disease†,Deaths,Total,Brazil,222550.0
Cardiovascular disease†,Deaths,Percentage,Brazil,16.0
Cardiovascular disease†,Deaths,Attributed,Chile,3104.0
Cardiovascular disease†,Deaths,Total,Chile,15777.0
Cardiovascular disease†,Deaths,Percentage,Chile,20.0
Cardiovascular disease†,Deaths,Attributed,Colombia,8160.0
Cardiovascular disease†,Deaths,Total,Colombia,50529.0
