"Category","Subcategory","Argentina","Bolivia","Brazil","Chile","Colombia","Costa Rica","Ecuador","Honduras","Mexico","Paraguay","Peru","Uruguay","Total"
"Total deaths*","48,723/359,196 (14%)","4,474/55,274 (8%)","156,217/1,240,068 (13%)","19,731/107,545 (18%)","32,088/198,738 (16%)","1,747/18,706 (9%)","7,798/57,999 (13%)","1,526/19,457 (8%)","49,189/613,123 (8%)","3,354/27,410 (12%)","15,715/130,930 (12%)","4,811/32,475 (15%)","345,373/2,860,921 (12%)",
"Total disease events†",,224007,27867,1103421,111526,221811,13718,51280,9919,308840,22360,95879,20165,2210720
"Total direct medical cost"," millions $","3,817.3","249.7","11,830.1","1,901.3","1,708.5","241.5","476.0","56.3","4,767.7","301.3","796.0","800.1","26,946.3"
"Total healthy years of life lost‡",,"1,072,979 (73%)","113,736 (72%)","4,203,389 (72%)","495,988 (67%)","789,587 (65%)","44,278 (68%)","204,686 (68%)","39,034 (67%)","1,237,488 (70%)","88,473 (67%)","380,749 (71%)","104,015 (73%)","8,774,402 (70%)"
"Cardiovascular disease†","Deaths","11,127/87,543 (13%)","696/4,750 (15%)","34,999/222,550 (16%)","3,104/15,777 (20%)","8,160/50,529 (16%)","431/3,785 (11%)","1,330/9,331 (14%)","258/1,823 (14%)","13,302/103,555 (13%)","692/3,573 (19%)","2,029/11,724 (17%)","768/5,588 (14%)","76,896/494,755 (16%)"
"Cardiovascular disease†","Event incidence","63,162/261,258 (24%)","2,580/12,897 (19%)","470,666/2,007,840 (23%)","22,397/64,613 (35%)","91,505/389,672 (23%)","6,495/35,936 (18%)","4,897/16,196 (22%)","3,033/15,009 (20%)","106,369/527,342 (20%)","9,075/36,628 (25%)","8,429/35,505 (24%)","6,571/26,681 (22%)","795,179/3,429,576 (23%)"
"Cardiovascular disease†","Direct medical cost (millions $)","1,096.4/4,818.8 (23%)","71.1/310.3 (23%)","3,082.5/13,768.9 (22%)","438.7/1,283.1 (34%)","546.9/2,468.6 (22%)","97.1/584.0 (17%)","77.0/293.1 (26%)","23.6/117.5 (20%)","1,656.3/8,038.4 (21%)","123.4/525.8 (23%)","125.7/480.4 (26%)","273.6/1,272.3 (21%)","7,612.3/33,961.2 (22%)"
"Stroke†","Deaths","2,786/21,960 (13%)","522/2,896 (18%)","10,812/80,857 (13%)","1,792/9,929 (18%)","2,195/17,007 (13%)","125/1,338 (9%)","440/3,357 (13%)","65/561 (12%)","3,740/39,731 (9%)","270/1,770 (15%)","1,114/6,735 (17%)","173/1,559 (11%)","24,034/187,698 (13%)"
"Stroke†","Event incidence","14,740/99,878 (15%)","3,728/20,839 (18%)","59,509/385,523 (15%)","14,473/67,421 (21%)","23,233/160,477 (14%)","500/5,088 (10%)","3,064/23,671 (13%)","263/2,175 (12%)","15,273/153,259 (10%)","1,414/8,433 (17%)","7,871/47,571 (17%)","718/5,940 (12%)","144,786/980,275 (15%)"
"Stroke†","Direct medical cost (millions $)","277.4/1,753.7 (16%)","78.3/380.7 (21%)","653.0/3,903.9 (17%)","244.8/1,029.3 (24%)","198.5/1,229.3 (16%)","9.4/83.1 (11%)","34.0/254.8 (14%)","1.7/13.0 (14%)","139.7/1,315.3 (11%)","20.8/110.2 (19%)","95.2/531.1 (18%)","26.2/194.6 (13%)","1,779.0/10,799.9 (16%)"
